iter	Passed	Remaining
446	1125	1392
447	1127	1388
448	1129	1385
449	1130	1382
450	1132	1378
451	1135	1377
452	1137	1373
453	1140	1371
454	1141	1367
455	1143	1363
456	1144	1359
457	1145	1355
458	1149	1354
459	1150	1350
460	1151	1346
461	1152	1342
462	1154	1339
463	1155	1334
464	1156	1330
465	1157	1326
466	1159	1323
467	1160	1319
468	1163	1316
469	1164	1313
470	1167	1310
471	1168	1307
472	1169	1303
473	1170	1299
474	1172	1295
475	1173	1292
476	1174	1288
477	1175	1284
478	1179	1283
479	1180	1279
480	1181	1275
481	1182	1271
482	1183	1267
483	1185	1263
484	1186	1260
485	1187	1256
486	1188	1251
487	1189	1247
488	1190	1243
489	1191	1240
490	1194	1237
491	1195	1233
492	1196	1230
493	1197	1226
494	1198	1222
495	1199	1218
496	1199	1214
497	1200	1210
498	1201	1206
499	1202	1202
500	1203	1198
501	1204	1195
502	1205	1191
503	1206	1187
504	1209	1185
505	1210	1181
506	1211	1178
507	1212	1174
508	1213	1170
509	1213	1166
510	1214	1162
511	1215	1158
512	1216	1154
513	1217	1150
514	1217	1146
515	1218	1143
516	1219	1139
517	1220	1135
518	1221	1131
519	1225	1131
520	1227	1128
521	1229	1125
522	1231	1123
523	1232	1119
524	1232	1115
525	1233	1111
526	1235	1108
527	1236	1105
528	1238	1102
529	1239	1099
530	1240	1095
531	1241	1091
532	1241	1088
533	1242	1084
534	1243	1080
535	1244	1077
536	1244	1073
537	1245	1069
538	1246	1066
539	1247	1062
540	1248	1059
541	1249	1055
542	1250	1052
543	1251	1048
544	1252	1045
545	1253	1042
546	1254	1038
547	1254	1035
548	1255	1031
549	1256	1028
550	1257	1024
551	1258	1021
552	1259	1017
553	1259	1014
554	1260	1010
555	1261	1007
556	1262	1004
557	1264	1001
558	1267	999
559	1268	996
560	1269	993
561	1270	990
562	1271	987
563	1272	983
564	1273	980
565	1274	977
566	1275	974
567	1276	971
568	1277	967
569	1279	964
570	1280	961
571	1282	959
572	1283	956
573	1284	953
574	1285	950
575	1286	947
576	1287	944
577	1288	941
578	1290	938
579	1291	935
580	1292	931
581	1293	928
582	1294	925
583	1296	923
584	1297	920
585	1298	917
586	1299	914
587	1301	911
588	1302	908
589	1303	905
590	1304	902
591	1305	899
592	1306	896
593	1307	893
